,id,permalink,username,to,retweets,favorites,mentions,hashtags,geo,date,text
0,1259762198819139584,https://twitter.com/lawnatural/status/1259762198819139584,lawnatural,,1,2,,#5G #5GMyths #5GDangers #No5G #5GMemes #5GTowers #5GNetwork #Idonotconsentto5G #5GMythbusters #Wesaynoto5G #5GAustralia #SafeTechnology #5Gisnotsafe #stop5G #is5gsafe #stop5Gaustralia #stop5Gcentralcoast #stop5Gnorthernrivers #EHS,,2020-05-11 08:28:08+00:00,#5G #5GMyths #5GDangers #No5G #5GMemes #5GTowers #5GNetwork #Idonotconsentto5G #5GMythbusters #Wesaynoto5G #5GAustralia #SafeTechnology #5Gisnotsafe #stop5G #is5gsafe? #stop5Gaustralia #stop5Gcentralcoast #stop5Gnorthernrivers #EHS https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1797826/ https://www.aph.gov.au/Parliamentary_Business/Committees/Senate/Environment_and_Communications/Completed_inquiries/1999-02/emr/report/c03
1,1259761357538291712,https://twitter.com/lawnatural/status/1259761357538291712,lawnatural,,1,1,,#5G #5GMyths #5GDangers #No5G #5GMemes #5GTowers #5GNetwork #Idonotconsentto5G #5GMythbusters #Wesaynoto5G #5GAustralia #SafeTechnology #5Gisnotsafe #stop5G #is5gsafe #stop5Gaustralia #stop5Gcentralcoast #stop5Gnorthernrivers #EHS #EMF #RFRadiation #5GHealtheffects #5GProblems,,2020-05-11 08:24:47+00:00,#5G #5GMyths #5GDangers #No5G #5GMemes #5GTowers #5GNetwork #Idonotconsentto5G #5GMythbusters #Wesaynoto5G #5GAustralia #SafeTechnology #5Gisnotsafe #stop5G #is5gsafe? #stop5Gaustralia #stop5Gcentralcoast #stop5Gnorthernrivers #EHS #EMF #RFRadiation #5GHealtheffects #5GProblems
2,1259760867387695104,https://twitter.com/lawnatural/status/1259760867387695104,lawnatural,,0,0,,#5GMYTHBUSTERMAY #5G #5GMyths #5GDangers #No5G #5GMemes #5GTowers #5GNetwork #Idonotconsentto5G #5GMythbusters #Wesaynoto5G #5GAustralia #SafeTechnology #5Gisnotsafe #stop5G #is5gsafe #stop5Gaustralia #stop5Gcentralcoast #stop5Gnorthernrivers #EHS #EMF #RFRadiation,,2020-05-11 08:22:50+00:00,#5GMYTHBUSTERMAY #5G #5GMyths #5GDangers #No5G #5GMemes #5GTowers #5GNetwork #Idonotconsentto5G #5GMythbusters #Wesaynoto5G #5GAustralia #SafeTechnology #5Gisnotsafe #stop5G #is5gsafe #stop5Gaustralia #stop5Gcentralcoast #stop5Gnorthernrivers #EHS #EMF #RFRadiation
3,1259701453108711425,https://twitter.com/B4UR12/status/1259701453108711425,B4UR12,,0,3,,#ObamaGate #PizzaGate #SethRich #NeverForgetBenghazi #SatanicElite #PlannedParenthood #2AShallNotBeInfringed #No666vaccine #5GDangers #LockThemAllUp #Lockdown #OpenAmericaAgain #Trump2020 #CivilLiberties #HollywoodPedos #CometPingPong #TheStorm,,2020-05-11 04:26:45+00:00,"Can #ObamaGate be included with #PizzaGate, #SethRich, #NeverForgetBenghazi, #SatanicElite, #PlannedParenthood, #2AShallNotBeInfringed, #No666vaccine, #5GDangers, #LockThemAllUp, #Lockdown, #OpenAmericaAgain, #Trump2020, #CivilLiberties, #HollywoodPedos, #CometPingPong, #TheStorm"
4,1259700295694598144,https://twitter.com/FlyingSydney/status/1259700295694598144,FlyingSydney,NSWHealth,1,3,,#5GDangers #coronavirus #ConspiracyTheories,,2020-05-11 04:22:09+00:00,Does that need to explain? 😂 How about the electricity? Could the coronavirus spread when I charge my phone?😱 #5GDangers #coronavirus #ConspiracyTheories
5,1259482928695906304,https://twitter.com/PaulmichaelODo1/status/1259482928695906304,PaulmichaelODo1,,3,6,,#5GDangers,,2020-05-10 13:58:24+00:00,#5GDangers here is what 5G can do to you 
6,1259258597399236608,https://twitter.com/Runa_Kanom/status/1259258597399236608,Runa_Kanom,,1,3,,#5g #5gnews #5GMindControl #5gdangers #5gplans #Covid_19 #coronavirus,,2020-05-09 23:07:00+00:00,DUTCH STATE SECRETARY ADMITS 5G WILL BE USED FOR CROWD CONTROL! Wasn't sure about the whole 5g biz till now. Rethinking... #5g #5gnews #5GMindControl #5gdangers #5gplans #Covid_19 #coronavirus #🤦‍♀️ ://instagram.com/stories/runakanom/2305569491261474031?igshid=2lk69nb0zbfy
7,1258838658980802560,https://twitter.com/WillowsWebAstro/status/1258838658980802560,WillowsWebAstro,,0,2,,#Stop5G #5G #energyweapons #5Gkills #5Gdangers #5Gkillsanimals #5Gkillsbirds #5Gkillspeople,,2020-05-08 19:18:19+00:00,"Birds hate 5G as much as we do! Go, birdies! https://www.youtube.com/watch?time_continue=43&amp;v=2qXVkjZwcD8 #Stop5G #5G #energyweapons #5Gkills #5Gdangers #5Gkillsanimals #5Gkillsbirds #5Gkillspeople"
8,1258094370068332544,https://twitter.com/healthmeans/status/1258094370068332544,healthmeans,,1,1,,#5G #EMF #radiation #5gdangers #5gkills #joshdelsol,,2020-05-06 18:00:46+00:00,"Y'all ready? 😲 Because ready or not, it's coming. #5G #EMF #radiation #5gdangers #5gkills #joshdelsol"
9,1257824410448408584,https://twitter.com/starryknight776/status/1257824410448408584,starryknight776,,0,0,@drvandanashiva @rissflex,#COVID19 #arrestbillgates #crimesagainsthumanity #GatesOfHell #Agenda21 #NWO #Stop5G #5GCoronavirus #5GDangers #ArrestBillGates #ArrestFauci #Agenda2030 #coronavirusuk #COVID,,2020-05-06 00:08:03+00:00,@drvandanashiva @rissflex #COVID19 #arrestbillgates #crimesagainsthumanity #GatesOfHell #Agenda21 #NWO #Stop5G #5GCoronavirus #5GDangers #ArrestBillGates #ArrestFauci #Agenda2030 #coronavirusuk #COVIDー19
10,1257466438555582464,https://twitter.com/WillowsWebAstro/status/1257466438555582464,WillowsWebAstro,,4,5,,#Stop5G #5G #radiation #5Gdangers #EMF #EMFdangers,,2020-05-05 00:25:36+00:00,A new Ban 5G Saskatchewan group at MeWe https://mewe.com/join/ban5gsaskatchewan #Stop5G #5G #radiation #5Gdangers #EMF #EMFdangers
11,1257436286106943494,https://twitter.com/Atheria/status/1257436286106943494,Atheria,,0,0,@YouTube,#5Gdanger #5G #5Gdangers #Dangerous5G #Wireless #Radiation,,2020-05-04 22:25:47+00:00,Wireless wake-up call | Jeromy Johnson | TEDxBerkeley https://youtu.be/F0NEaPTu9oI via @YouTube 5G will make this all even worse. #5Gdanger #5G #5Gdangers #Dangerous5G #Wireless #Radiation
12,1257386476930826252,https://twitter.com/labrahams87/status/1257386476930826252,labrahams87,,0,0,,#COVID19SouthAfrica #pandemic #5gnetworks #emfradiation #wedonotconsent #5gdangers,,2020-05-04 19:07:51+00:00,"Perfect timing during #COVID19SouthAfrica #pandemic crisis that can kill you, just add #5gnetworks #emfradiation to make matters worst #wedonotconsent #5gdangers Vodacom launches 5G in Joburg, Pretoria and Cape Town "
13,1257279876651986944,https://twitter.com/NetworkWorld/status/1257279876651986944,NetworkWorld,,7,4,@julietbeauchamp @IDGTechTalk,#5G #COVID19 #5Gconspiracies #5Ghealth #5Gdangers #coronavirus,,2020-05-04 12:04:16+00:00,"There is no evidence #5G causes #COVID19 or poses any other health risks, despite what conspiracy theorists say. @julietbeauchamp explains in her newest video: https://trib.al/IEsktzB @IDGTECHtalk #5Gconspiracies #5Ghealth #5Gdangers #coronavirus"
