,id,permalink,username,to,retweets,favorites,mentions,hashtags,geo,date,text
0,1270439824617398272,https://twitter.com/forgotaboutess/status/1270439824617398272,forgotaboutess,,0,0,,#5Gtruth #NewWorldOrange #SurfNinjas,,2020-06-09 19:37:12+00:00,Conspiritualists of the Internet let us join hands and summon the ghost of Leslie Nielsen. #5Gtruth #NewWorldOrange #SurfNinjas
1,1270425788425396231,https://twitter.com/Tripdafame/status/1270425788425396231,Tripdafame,,0,1,,#5gvirus #5Gtruth #coronavirus,,2020-06-09 18:41:25+00:00,If you don’t realize by now that Covid-19 was a false flag idk wtf to tell you other than you are brainwashed. And 👇this is all I need. I don’t even need to give evidence regarding any “conspiracy theories” anymore. #5gvirus #5Gtruth #coronavirus
2,1269616976797806596,https://twitter.com/swagcutsupreme/status/1269616976797806596,swagcutsupreme,,1,5,,#coronavirus #5GCorona #5gtruth #thetruth #thirdeye,,2020-06-07 13:07:30+00:00,Thinking real hard about corona and 5g #coronavirus #5GCorona #5gtruth #thetruth #thirdeye
3,1268771727443668995,https://twitter.com/Tripdafame/status/1268771727443668995,Tripdafame,,1,1,,#COVID19 #blacklifematters #DefundThePolice #5Gtruth,,2020-06-05 05:08:47+00:00,Learn the truth about Covid-19👇details on the below information pinned in my profile..watch the censored david Icke interview there #COVID19 #blacklifematters #DefundThePolice #5Gtruth 
4,1268596152636788736,https://twitter.com/Tripdafame/status/1268596152636788736,Tripdafame,,0,0,,#COVID #coronavirus #5G #5Gtruth,,2020-06-04 17:31:06+00:00,Learn the truth about Covid-19👇 #COVIDー19 #coronavirus #5G #5Gtruth https://www.davidicke.com/article/567842/update-banned-david-icke-video-extraordinary-story-people-giving-finger-1-percent-everywhere
5,1267545945140604928,https://twitter.com/I_stole_ur_feet/status/1267545945140604928,I_stole_ur_feet,,0,0,,#5gtruth,,2020-06-01 19:57:57+00:00,"Not sorry, but the real #5gtruth is that 5g cant mutate cells😕"
6,1267439221607972866,https://twitter.com/joerg7082/status/1267439221607972866,joerg7082,sapiofoxy,0,1,,#VitaminD #vitaminC #sunlight #freshCleanAir #goodSleep #HotColdShower #sauna #WildHerbs #WildVegetables #Electromagneticradiation #5Gtruth,,2020-06-01 12:53:52+00:00,And feed and Support the Immune-Army well. #VitaminD #vitaminC #sunlight #freshCleanAir #goodSleep #HotColdShower #sauna #WildHerbs #WildVegetables Reduce the Impact of #Electromagneticradiation + #5Gtruth 
7,1266724656712646656,https://twitter.com/Rickinthewall/status/1266724656712646656,Rickinthewall,,1,1,@BillGates,#5Gtruth,,2020-05-30 13:34:27+00:00,ICNIRP which are given the dubious task of checking 5G is safe at 60ghz....Are in collaboration with THE WORLD HEALTH ORGANISATION now funded by @BillGates #5Gtruth from the ICNIRP website 
8,1266159316953939968,https://twitter.com/TomBWBerry/status/1266159316953939968,TomBWBerry,commentiquette,0,1,,#commentiquette #internetcommentettiquette #bigmoneysalvia #5g #5gtruth #shirtlessoldmen,,2020-05-29 00:07:59+00:00,back this kickstarter otherwise the cloud people win #commentiquette #internetcommentettiquette #bigmoneysalvia #5g #5gtruth #shirtlessoldmen
9,1265567151219507203,https://twitter.com/joerg7082/status/1265567151219507203,joerg7082,,0,0,,#5G #5Gtruth #EmanzipationPermanent,,2020-05-27 08:54:56+00:00,#5G #5Gtruth #EmanzipationPermanent
