,id,permalink,username,to,retweets,favorites,mentions,hashtags,geo,date,text
0,1260296791678783488,https://twitter.com/realjoshbasili/status/1260296791678783488,realjoshbasili,CyrusAParsa1,0,1,,#CovidGate #plandemic #Adrenochromevirus #5Gvirus #BillGatesVirus #Luciferase #Vaccines #markofthebeast,,2020-05-12 19:52:24+00:00,#CovidGate is the #plandemic #Adrenochromevirus #5Gvirus #BillGatesVirus #Luciferase #Vaccines #markofthebeast 666 Virus 🦠 🇨🇳
1,1260231906311970816,https://twitter.com/psaranto/status/1260231906311970816,psaranto,,0,1,,#SAYNOTO5G #5GKILLS #60GHz #WEDONOTCONSENT #STOP5G #6G #140GHz #Dband #wireless #mmWave #spectrum #5GCoronavirus #5GMindControl #5Gvirus,,2020-05-12 15:34:35+00:00,#SAYNOTO5G #5GKILLS with its #60GHz ⚰️⚰️⚰️ #WEDONOTCONSENT ⚡️⚠️ #STOP5G and start #6G and #140GHz 🆘 👉140GHz #Dband explored for 6G #wireless networks https://www.eenewsanalog.com/news/140ghz-d-band-explored-6g-wireless-networks #mmWave #spectrum 📡 https://arxiv.org/pdf/1808.07594.pdf #5GCoronavirus #5GMindControl #5Gvirus 💀👿👹 
2,1260149393921097728,https://twitter.com/rrobertn/status/1260149393921097728,rrobertn,Karola_wamehlo,0,2,,#5g #5Gvirus,,2020-05-12 10:06:42+00:00,#5g #5Gvirus 👇🏻 
3,1260088318236127232,https://twitter.com/SwarovskiArts/status/1260088318236127232,SwarovskiArts,,1,1,,#HR6666 #5GCoronavirus #5GKills #5GKillGrid #5GMindControl #5Gvirus #Agenda2030 #WeDoNotConsent #AWAKENING #SayNOtoWHO #SayNoToID2020 #Plandemic #NWO #Scamdemic #ArrestBillGates #CoronaHoax #SayNoToGatesVaccine #Agenda21 #CrimesAgainstHumanity #EndTheShutdown,,2020-05-12 06:04:01+00:00,#HR6666 #5GCoronavirus #5GKills #5GKillGrid #5GMindControl #5Gvirus #Agenda2030 #WeDoNotConsent #AWAKENING #SayNOtoWHO #SayNoToID2020 #Plandemic #NWO #Scamdemic #ArrestBillGates #CoronaHoax #SayNoToGatesVaccine #Agenda21 #CrimesAgainstHumanity #EndTheShutdown
4,1259931090262753280,https://twitter.com/realjoshbasili/status/1259931090262753280,realjoshbasili,Cado478863961,2,1,@jack,#Truthers #MINORS #Adrenochrome #5Gvirus #TwitterFascism #JackisTheVirus,,2020-05-11 19:39:14+00:00,Trying to throw shots at #Truthers calling me a “minor celebrity”. Yo @jack how about you stop RAPING and EATING #MINORS #Adrenochrome #5Gvirus #TwitterFascism #JackisTheVirus 🐍🐍🐍🍕🍕🍕🍕🤮🤮🤮🤮
5,1259842646966710272,https://twitter.com/OWSLEYBEATS/status/1259842646966710272,OWSLEYBEATS,HuaweiEU,0,0,,#5GVIRUS,,2020-05-11 13:47:48+00:00,YOU HAVE ALOT OF UNANSWERED QUESTIONS ===> 5G IS NOT PROVEN SAFE. :\ ~WHERE ARE THE CROSS BLIND STUDIES?? #5GVIRUS
6,1259813028406558720,https://twitter.com/LAKEMBAWUHABISI/status/1259813028406558720,LAKEMBAWUHABISI,,0,0,@QandA,#5Gvirus #5GEuhanvirus #5Ginavirus #5G #ChineseGangstaVirus,,2020-05-11 11:50:06+00:00,@QandA #5Gvirus #5GEuhanvirus #5Ginavirus #5G #ChineseGangstaVirus
7,1259585592276500485,https://twitter.com/oscarbjj/status/1259585592276500485,oscarbjj,,0,0,,#5gstop #5Gvirus #5gevil,,2020-05-10 20:46:21+00:00,#5gstop #5Gvirus #5gevil
8,1259581628525019136,https://twitter.com/filipowi/status/1259581628525019136,filipowi,KLubnauer,0,2,,#5G #5Gvirus #ReptilianConspiracy #VaccineAgenda #wybory2020 #WyboryPrezydenckie2020 #WyboryPrezydenckie,,2020-05-10 20:30:36+00:00,Tymczasem w alternatywnej rzeczywistości: Według opozycji dzisiejsze wybory są ważne❗️ #5G #5Gvirus #ReptilianConspiracy #VaccineAgenda #wybory2020 #WyboryPrezydenckie2020 #WyboryPrezydenckie ✨🪐🛸👽
9,1259579039406338053,https://twitter.com/n0t_a_dr0id/status/1259579039406338053,n0t_a_dr0id,,0,1,,#COVID__19 #5Gvirus,,2020-05-10 20:20:19+00:00,A new world order is coming. Covid-19 is being used as an excuse to gain control over the whole planet in a centralised matter. #COVID__19 #5Gvirus
10,1259564265318387713,https://twitter.com/realjoshbasili/status/1259564265318387713,realjoshbasili,,0,0,,#Plandemic #COVIDIOTS #COVID19 #5Gvirus #Adrenochrome #pizzagate #NurseJigga,,2020-05-10 19:21:37+00:00,#Plandemic #COVIDIOTS #COVID19 #5Gvirus #Adrenochrome #pizzagate #NurseJigga 🗣🗣🗣🗣🗣🗣🗣
11,1259497745779265536,https://twitter.com/realjoshbasili/status/1259497745779265536,realjoshbasili,BeachMilk,0,0,,#WeThePeople #SaveTheChildren #FREEDOM #5Gvirus #adrenochome,,2020-05-10 14:57:17+00:00,OUT-RAGE-US 🤬🤬🤬 #WeThePeople 🙏🏾 🌍 #SaveTheChildren #FREEDOM #5Gvirus #adrenochome
12,1259451986761613312,https://twitter.com/NothingSirius/status/1259451986761613312,NothingSirius,,0,0,,#5G #Ultrasonic #Infrasonic #5gVirus #CoronaRadiation #TheoriaApophasis,,2020-05-10 11:55:27+00:00,😨 #5G Causation Dangers. #Ultrasonic &amp; #Infrasonic side-effects 🧐 #5gVirus = #CoronaRadiation https://youtu.be/wrJPaIHPeCM via #TheoriaApophasis
13,1259252974691454976,https://twitter.com/CALEBHITT/status/1259252974691454976,CALEBHITT,,0,0,,#5G #5GCononavirus #5Gvirus #COVID2019 #coronavirus #CoronaVirusUpdate #CoronavirusOutbreak #Corona #CoronaVirusUpdates #CoronaHoax #covidhoax #endthelockdown #Health #healthy #WiFi #tech #TechNews #technology #healthcare,,2020-05-09 22:44:39+00:00,5G - COVID19 corellation https://youtu.be/f7Y9Py30PgU #5G #5GCononavirus #5Gvirus #COVID2019 #coronavirus #CoronaVirusUpdate #CoronavirusOutbreak #Corona #CoronaVirusUpdates #CoronaHoax #covidhoax #endthelockdown #Health #healthy #WiFi #tech #TechNews #technology #healthcare
14,1259115872657928196,https://twitter.com/trixienovel/status/1259115872657928196,trixienovel,rhythmandwater,0,4,@realDonaldTrump @GavinNewsom,#5Gvirus #5gkorona #Event201 #BillGatesVirus #Plandemic,,2020-05-09 13:39:51+00:00,#5Gvirus https://youtu.be/PiRrDcpU2T4 #5gkorona Expert https://youtu.be/X8-sT-spd2U #Event201 #BillGatesVirus #Plandemic Segment 1 of 5 Event 201 https://youtu.be/Vm1-DnxRiPM Origins of a virus https://youtu.be/3DAI3c9wE0Q Rules for radicals https://youtu.be/21oFSiWOOoY @realDonaldTrump @GavinNewsom
15,1259114415003140096,https://twitter.com/FollowedWhite/status/1259114415003140096,FollowedWhite,,0,0,,#TheStormIsHere #AI #5G #5Gvirus,,2020-05-09 13:34:04+00:00,How 5G Will release AI https://www.forbes.com/sites/tomtaulli/2020/05/08/how-5g-will-unleash-ai/#4930bca448c3 #TheStormIsHere #AI #5G #5Gvirus
16,1259112908270649345,https://twitter.com/trixienovel/status/1259112908270649345,trixienovel,rhythmandwater,0,0,,#COVID19 #coronavirus #CCPLiedPeopleDied #COVIDIOT #5Gvirus,,2020-05-09 13:28:05+00:00,#COVID19 #coronavirus #CCPLiedPeopleDied #COVIDIOT #5Gvirus 
17,1259086585791787008,https://twitter.com/5G00061037/status/1259086585791787008,5G00061037,,1,0,@SankeiBiz_jp,#5G #5G #5G #STOP5G #5Gvirus,,2020-05-09 11:43:29+00:00,5G、スイス政府が健康懸念で使用停止 英紙報道、他国に影響も https://www.sankeibiz.jp/macro/news/200213/mcb2002132109047-n1.htm @SankeiBiz_jpより スイスでは #5G の危険性を考え、使用停止にしました！ #5G反対 #5G #STOP5G #5Gvirus
18,1259068270617022465,https://twitter.com/SimFrize/status/1259068270617022465,SimFrize,,0,0,,#5G #5Gvirus,,2020-05-09 10:30:42+00:00,"Juba tükkaega seisab ta Riia tn, kas ta kiiritab inimesi 5Gga, kas ta on valitsuse mõju all? Kas tal on kiip? Kas ta nakatab meid ka selle viirusepüstoliga? Nii palju küsimusi, nii vähe vastuseid. Kodanik on mures #5G #5Gvirus "
19,1259064365954686977,https://twitter.com/ThanQ35839132/status/1259064365954686977,ThanQ35839132,,2,2,,#SAYNOTO5G #5Gvirus #NO5G,,2020-05-09 10:15:11+00:00,DON’T FORGET #SAYNOTO5G #5Gvirus #NO5G BEHIND THE SCENES THIS IS BEING ROLLED OUT! Share this VIDEO!
20,1259060993797300230,https://twitter.com/OsNetDailyNews/status/1259060993797300230,OsNetDailyNews,,4,3,,#X37B #5g #5Gvirus #5GCononavirus #nasa #pentagon #SpaceForce,,2020-05-09 10:01:47+00:00,"#X37B Space Plane’s Microwave Power Beam Experiment Is A Way Bigger Deal Than It Seems http://osnetdaily.com/2020/05/x-37b-space-planes-microwave-power-beam-experiment-is-a-way-bigger-deal-than-it-seems/ #5g,#5Gvirus ,#5GCononavirus ,#nasa,#pentagon,#SpaceForce"
21,1259052546200612864,https://twitter.com/Fr33Sp33ch5/status/1259052546200612864,Fr33Sp33ch5,HodderTracy,2,2,,#Plandemic #5Gvirus,,2020-05-09 09:28:13+00:00,..... & deaths always put down to covid as a quick sign off & to inflate the covid death figures #Plandemic #5Gvirus
22,1259043443017474048,https://twitter.com/Vera06685108/status/1259043443017474048,Vera06685108,saglikbakanligi,0,0,,#5Gvirus,,2020-05-09 08:52:03+00:00,#5Gvirus
23,1258986603168448512,https://twitter.com/TheStevenWeber/status/1258986603168448512,TheStevenWeber,,1,49,,#5Gvirus,,2020-05-09 05:06:11+00:00,"This is our first 5G presidency: Graft, Greed, Guilt, Grossness and Gunt! #5Gvirus"
24,1258981338494861312,https://twitter.com/LeeiaLH/status/1258981338494861312,LeeiaLH,,1,0,,#RETWEET #VACCINES #mandatoryvaccines #rights #laws #trackandtrace #5Gvirus #kids #SayNoTo,,2020-05-09 04:45:16+00:00,"LISTEN I NEED YOU TO SIGN AND #RETWEET ASAP, ONLY GOT SO MANY DAYS....LETS GO!! #VACCINES #mandatoryvaccines #rights #laws #trackandtrace #5Gvirus #kids #SayNoTo"
25,1258977448252719104,https://twitter.com/myjoecard/status/1258977448252719104,myjoecard,IndigoLeo10,0,1,,#Enough #5G #5Gvirus,,2020-05-09 04:29:48+00:00,No one needs 5G. I'll say it. 3G was not bad. 4G is well enough. Tear those things down. #Enough #5G #5Gvirus 
26,1258971155312017408,https://twitter.com/loranie10/status/1258971155312017408,loranie10,LEXPRESS,1,0,,#propagandalive #Suisse #monde #coronavirus #5Gvirus #libert #CyberSecurity #free,,2020-05-09 04:04:48+00:00,#propagandalive #Suisse #monde #coronavirus #5Gvirus #liberté #CyberSecurity #free
27,1258966999163531264,https://twitter.com/teepsk8/status/1258966999163531264,teepsk8,,0,0,,#5Gvirus #5g #ConspiracyTheory #COVIDIOT #covidconspiracy #CoronaVirusHOAX #coronavirus,,2020-05-09 03:48:17+00:00,My etsy store is killing it recently We specialize in foil hats. #5Gvirus #5g #ConspiracyTheory #COVIDIOT #covidconspiracy #CoronaVirusHOAX #coronavirus
28,1258939988432965633,https://twitter.com/realjoshbasili/status/1258939988432965633,realjoshbasili,,2,3,,#reptilians #draconians #aliens #adrenochrome #pizzagate #illuminati #greenlandtheory #luciferians #5Gvirus #RecallNewsom #DeepStateExposed,,2020-05-09 02:00:57+00:00,Check our my podcast on #reptilians #draconians #aliens #adrenochrome #pizzagate #illuminati #greenlandtheory #luciferians #5Gvirus #RecallNewsom #DeepStateExposed
29,1258911541451206658,https://twitter.com/filipowi/status/1258911541451206658,filipowi,dawid_gac_,0,1,,#5Gvirus #5GCononavirus #5Gmindcontrol #Ustawa447 #NWO #VaccineAgenda,,2020-05-09 00:07:55+00:00,#5Gvirus #5GCononavirus #5Gmindcontrol #Ustawa447 #NWO #VaccineAgenda A te czapeczki to mogą być z papieru?
30,1258907883514855424,https://twitter.com/christopherjga4/status/1258907883514855424,christopherjga4,NatCitAlliance,0,2,@adrien_bordage,#5G #cdnpoli #COVID19 #NationalCitizensAlliance #5Grollout #5GCononavirus #5Gvirus,,2020-05-08 23:53:23+00:00,"Don't Forget, that @adrien_bordage and I exposed some #5G All across New Brunswick. Who is providing them the funds if the Tax Payers Can't afford to Cover the cost?#cdnpoli #COVID19 #NationalCitizensAlliance #5Grollout #5GCononavirus #5Gvirus"
