,id,permalink,username,to,retweets,favorites,mentions,hashtags,geo,date,text
0,1260320011094241283,https://twitter.com/isamu_gb/status/1260320011094241283,isamu_gb,Telegraph,0,0,,#chinamustpay #nohuawei,,2020-05-12 21:24:40+00:00,"An invoice should be on its way to the Chinese embassy. Along with all other nations requesting the same. The Chinese have complained about foreign injustices, now we get to turn the tables. Especially as they are bullying NZ and Aussie allies. #chinamustpay #nohuawei"
1,1259757013204074496,https://twitter.com/YvetteHenson/status/1259757013204074496,YvetteHenson,EstherMcVey1,1,1,,#NoHuawei,,2020-05-11 08:07:31+00:00,Just #NoHuawei
2,1259536241336307712,https://twitter.com/Tokenn/status/1259536241336307712,Tokenn,CivilAdvantage1,0,4,,#NoHuawei,,2020-05-10 17:30:15+00:00,Hmmmm...what kind of cell reception would I get with that 5G antenna? Waitaminute! Was it made by Huawei? #NoHuawei
3,1259220421209022464,https://twitter.com/GTMGQ/status/1259220421209022464,GTMGQ,GTMGQ,0,0,,#NoHuaWei #No5G #5G #XiJinping,,2020-05-09 20:35:18+00:00,#NoHuaWei #No5G #5G is #XiJinping's eyes and ears.
4,1259098268585259009,https://twitter.com/ColeEpicSmile/status/1259098268585259009,ColeEpicSmile,nationalpost,0,1,@FP_Champagne @JustinTrudeau @CanadianPM @CBC @nationalpost @globalnews @globepolitics @cafreeland,#taiwanisfree #apologize #taiwanisnotchina #freetibet #downwiththebloodyredregime #downwiththeccp #notochina #nohuawei,,2020-05-09 12:29:54+00:00,@FP_Champagne-Philippe Champagne was this you?Did you do this?You sicken me #taiwanisfree #apologize #taiwanisnotchina #freetibet #downwiththebloodyredregime #downwiththeccp #notochina #nohuawei @JustinTrudeau @CanadianPM @CBC @nationalpost @globalnews @globepolitics @cafreeland
5,1258686803684528128,https://twitter.com/Michael_Rodr_88/status/1258686803684528128,Michael_Rodr_88,Huawei,0,1,,#NoHuawei #ChinaVirus #TrasherChina,,2020-05-08 09:14:53+00:00,#NoHuawei #ChinaVirus #TrasherChina
6,1258422173162565635,https://twitter.com/maxfsrvan/status/1258422173162565635,maxfsrvan,EvaSiu21,1,1,,#ChinaMustExplain #NoHuawei #Uighurs,,2020-05-07 15:43:21+00:00,Politics not evidence. So we need to wait until evidence emerges? Why are we giving the benefit of the doubt to a genocidal dictatorship? This isn't a criminal trial. Canadian sovereignty is not something we can give away and reclaim later. #ChinaMustExplain #NoHuawei #Uighurs
7,1258400619750019073,https://twitter.com/Charles73108088/status/1258400619750019073,Charles73108088,SenRickScott,0,3,,#CCPLiedPeopleDied #NoHuawei #boycottchinaproducts,,2020-05-07 14:17:42+00:00,#CCPLiedPeopleDied #NoHuawei #boycottchinaproducts
8,1258337574835322881,https://twitter.com/isamu_gb/status/1258337574835322881,isamu_gb,Huawei_IntCom,0,8,,#nohuawei #MilkTeaAlliance #no5ghuawei,,2020-05-07 10:07:11+00:00,No thanks. Just live stream a webinar about when you’re leaving the U.K. We wouldn’t have let the Nazis build our transatlantic cables to the US and shouldn’t let you continue on our 5G. #nohuawei #MilkTeaAlliance #no5ghuawei
9,1258132684452368384,https://twitter.com/BuzzkillF/status/1258132684452368384,BuzzkillF,Djw_911,0,0,@BorisJohnson,#NoHuawei,,2020-05-06 20:33:01+00:00,Huawei 5G is a deal breaker for me. #NoHuawei 🏴󠁧󠁢󠁷󠁬󠁳󠁿🇬🇧🇺🇸. @BorisJohnson
10,1257947816481128448,https://twitter.com/adrianb1066/status/1257947816481128448,adrianb1066,profsked,0,0,,#nohuawei,,2020-05-06 08:18:25+00:00,Four Eyes are better than Six Eyes #nohuawei
11,1257629677662896128,https://twitter.com/YvetteHenson/status/1257629677662896128,YvetteHenson,BrugesGroup,6,13,,#NoHuawei,,2020-05-05 11:14:15+00:00,We must say #NoHuawei
12,1257627019535200257,https://twitter.com/GTMGQ/status/1257627019535200257,GTMGQ,p00rpete,0,0,,#NoHuawei #No5G,,2020-05-05 11:03:41+00:00,#NoHuawei #No5G
13,1257562743697219584,https://twitter.com/YvetteHenson/status/1257562743697219584,YvetteHenson,TomTugendhat,1,8,,#NoHuawei,,2020-05-05 06:48:17+00:00,I would expect it to happen. It is common sense. We must say #NoHuawei
14,1257548992679985152,https://twitter.com/isamu_gb/status/1257548992679985152,isamu_gb,kks123410,1,1,,#nohuawei #MilkTeaAlliance #Japan #TaiwanWho,,2020-05-05 05:53:38+00:00,Invented by others. Stolen by China. Sold at low cost. No thanks. #nohuawei #MilkTeaAlliance #Japan #TaiwanWho
15,1257089105516589056,https://twitter.com/ChristinePolon1/status/1257089105516589056,ChristinePolon1,Huawei,10,15,@SecPompeo,#NoHuawei,,2020-05-03 23:26:12+00:00,Want to die? #NoHuawei @SecPompeo
16,1257039860369678341,https://twitter.com/isamu_gb/status/1257039860369678341,isamu_gb,niubi,0,0,,#VEDay75 #ChinaWakeUp #nohuawei,,2020-05-03 20:10:32+00:00,Neville Chamberlains of this world will only make this worse. CCP needs to be shown a hardline stance - like the USSR. This Friday we’ll remember what happens when we let these regimes run riot till it’s too late #VEDay75 #ChinaWakeUp #nohuawei
17,1256732403810185216,https://twitter.com/DanielHuculak/status/1256732403810185216,DanielHuculak,Huawei,0,0,,#NoHuawei,,2020-05-02 23:48:48+00:00,#NoHuawei 
18,1256702131681333250,https://twitter.com/BuzzkillF/status/1256702131681333250,BuzzkillF,SecPompeo,0,2,,#NoEU #NoHuawei,,2020-05-02 21:48:31+00:00,Only 5 eyes going forward 💪. #NoEU #NoHuawei
19,1256591924917567492,https://twitter.com/isamu_gb/status/1256591924917567492,isamu_gb,benedictrogers,1,3,,#nohuawei #ChinaMustPay,,2020-05-02 14:30:35+00:00,George Osborne was naive. Like his posh U.K. predecessors who welcome the Nazis with open arms. We have to stop Huawei. We have to stop Hinkley Point. No more quasi Chinese government investment. Esp in critical infrastructure #nohuawei #ChinaMustPay
20,1256496323353772032,https://twitter.com/markswife/status/1256496323353772032,markswife,Huawei,0,0,,#nohuawei,,2020-05-02 08:10:42+00:00,"#nohuawei , thank you. 👍🏼"
21,1256494843502755842,https://twitter.com/nathan_tam95/status/1256494843502755842,nathan_tam95,OwenPaterson,0,1,,#NoHuawei,,2020-05-02 08:04:49+00:00,How many times do we need to be tricked by china before we learn to keep our hands off to everything related to them ffs? #NoHuawei
22,1256300580173119491,https://twitter.com/YvetteHenson/status/1256300580173119491,YvetteHenson,OwenPaterson,0,4,,#NoHuawei,,2020-05-01 19:12:53+00:00,#NoHuawei
23,1255552607067574272,https://twitter.com/DanielHuculak/status/1255552607067574272,DanielHuculak,Huawei,0,0,,#NoHuawei,,2020-04-29 17:40:43+00:00,#NoHuawei 
24,1255253035200188421,https://twitter.com/ThiagoMotasSJC/status/1255253035200188421,ThiagoMotasSJC,,0,0,,#NoHuawei,,2020-04-28 21:50:19+00:00,#NoHuawei
25,1254278956309794818,https://twitter.com/AndyB72/status/1254278956309794818,AndyB72,,0,0,,#nochinaproducts #nohuawei #DontTrustChina #boicotchina,,2020-04-26 05:19:41+00:00,#nochinaproducts #nohuawei #DontTrustChina #boicotchina
26,1254131037765906432,https://twitter.com/FenellaSung1/status/1254131037765906432,FenellaSung1,UFWD_YVR,2,4,@JustinTrudeau @theJagmeetSingh @AndrewScheer @JoAnnRobertsHFX @ElizabethMay @cafreeland @DLeBlancNB @FP_Champagne @ErinOTooleMP @PeterMacKay @CanFriendsHK,#5Eyes #NoHuawei #NoHuawei5G #CCPVirus #WuhanFentanyl,,2020-04-25 19:31:54+00:00,All the political party leaders should be asked of this question! @JustinTrudeau @theJagmeetSingh @AndrewScheer @JoAnnRobertsHFX @ElizabethMay @cafreeland @DLeBlancNB @FP_Champagne #5Eyes #NoHuawei #NoHuawei5G #CCPVirus #WuhanFentanyl @ErinOTooleMP @PeterMacKay @CanFriendsHK
27,1253353767896047627,https://twitter.com/FenellaSung1/status/1253353767896047627,FenellaSung1,,0,0,,#CCP #FreeKovrig #FreeSpavor #NoHuawei #NoHuawei5G #MengWanzhou #CCPVirus #CCPLiedPeopleDied #CCPCoverUp,,2020-04-23 16:03:19+00:00,We are in this together: remembering the two Michaels & other Canadians imprisoned by the #CCP: Two Canadians jailed in China mark 500 days in confinement #FreeKovrig #FreeSpavor #NoHuawei #NoHuawei5G #MengWanzhou #CCPVirus #CCPLiedPeopleDied #CCPCoverUp
28,1253102645172031488,https://twitter.com/FenellaSung1/status/1253102645172031488,FenellaSung1,JMichaelWaller,0,0,@David_Mulroney @TerryGlavin @tomblackwellNP @RobertFife @stevenchase @MLInstitute @JMichaelCole1 @JustinTrudeau @cafreeland @NavdeepSBains @AndrewScheer @ErinOTooleMP @theJagmeetSingh @ElizabethMay,#NoHuawei #NoHuawei5G,,2020-04-22 23:25:26+00:00,"Perhaps Three Eyes, less Canada, once the decision is made. #NoHuawei #NoHuawei5G @David_Mulroney @TerryGlavin @tomblackwellNP @RobertFife @stevenchase @MLInstitute @JMichaelCole1 @JustinTrudeau @cafreeland @NavdeepSBains @AndrewScheer @ErinOTooleMP @theJagmeetSingh @ElizabethMay"
29,1252649094087979010,https://twitter.com/FenellaSung1/status/1252649094087979010,FenellaSung1,,1,2,@CrisisGroup @judyrudin @stevenchase @RobertFife @TerryGlavin @JustinTrudeau @cafreeland @FP_Champagne @nvanderklippe,#MichaelSpavor #KimJongUn #FreeKovrig #FreeSpavor #NoHuawei5G #NoHuawei,,2020-04-21 17:23:11+00:00,"Canadians miss #MichaelSpavor even more today, with so much conflicting information re #KimJongUn flying around #FreeKovrig #FreeSpavor @CrisisGroup @judyrudin @stevenchase @RobertFife @TerryGlavin @JustinTrudeau @cafreeland @FP_Champagne @nvanderklippe #NoHuawei5G #NoHuawei"
30,1252540505545756675,https://twitter.com/TheFunkeyGibbon/status/1252540505545756675,TheFunkeyGibbon,Huawei,0,2,,#5G #NoHuawei,,2020-04-21 10:11:42+00:00,"I'm okay with that. Isolation seems to be working with limiting the spread of Covid-19, so it's time to isolate a China to limit their influence spread. #5G #NoHuawei"
