,id,permalink,username,to,retweets,favorites,mentions,hashtags,geo,date,text
0,1270379670962307076,https://twitter.com/Londonsaysnoto1/status/1270379670962307076,Londonsaysnoto1,,0,1,,#SAYNOTO5G #WEDONOTCONSENT #STOP5G,,2020-06-09 15:38:10+00:00,#SAYNOTO5G #WEDONOTCONSENT #STOP5G
1,1270343169847234560,https://twitter.com/Londonsaysnoto1/status/1270343169847234560,Londonsaysnoto1,,0,0,,#SAYNOTO5G #WEDONOTCONSENT #STOP5G,,2020-06-09 13:13:08+00:00,#SAYNOTO5G #WEDONOTCONSENT #STOP5G
2,1270287453140799489,https://twitter.com/Londonsaysnoto1/status/1270287453140799489,Londonsaysnoto1,,0,0,,#SAYNOTO5G #WEDONOTCONSENT #STOP5G,,2020-06-09 09:31:44+00:00,#SAYNOTO5G #WEDONOTCONSENT #STOP5G
3,1270283301165641729,https://twitter.com/Winston11004677/status/1270283301165641729,Winston11004677,,0,0,,#SAYNOTO5G #WEDONOTCONSENT #STOP5G,,2020-06-09 09:15:14+00:00,#SAYNOTO5G #WEDONOTCONSENT #STOP5G 📴 warning against @eSmog_5G via twitter
4,1270114157686292486,https://twitter.com/Londonsaysnoto1/status/1270114157686292486,Londonsaysnoto1,,0,0,,#SAYNOTO5G #WEDONOTCONSENT #STOP5G,,2020-06-08 22:03:07+00:00,#SAYNOTO5G #WEDONOTCONSENT #STOP5G
5,1270035803931115520,https://twitter.com/Londonsaysnoto1/status/1270035803931115520,Londonsaysnoto1,,0,0,,#SAYNOTO5G #WEDONOTCONSENT #STOP5G,,2020-06-08 16:51:46+00:00,#SAYNOTO5G #WEDONOTCONSENT #STOP5G
6,1269968089816469518,https://twitter.com/Londonsaysnoto1/status/1269968089816469518,Londonsaysnoto1,,0,1,,#SAYNOTO5G #WEDONOTCONSENT #STOP5G,,2020-06-08 12:22:42+00:00,KAWASAKI = RADIATION BURNS #SAYNOTO5G #WEDONOTCONSENT #STOP5G
7,1269929025948049410,https://twitter.com/Londonsaysnoto1/status/1269929025948049410,Londonsaysnoto1,,1,0,,#SAYNOTO5G #WEDONOTCONSENT #STOP5G,,2020-06-08 09:47:28+00:00,#SAYNOTO5G #WEDONOTCONSENT #STOP5G
8,1269588526456340485,https://twitter.com/Londonsaysnoto1/status/1269588526456340485,Londonsaysnoto1,,0,0,,#SAYNOTO5G #WEDONOTCONSENT #STOP5G,,2020-06-07 11:14:27+00:00,#SAYNOTO5G #WEDONOTCONSENT #STOP5G
9,1269558081962336256,https://twitter.com/Londonsaysnoto1/status/1269558081962336256,Londonsaysnoto1,,0,1,,#SAYNOTO5G #WEDONOTCONSENT #STOP5G,,2020-06-07 09:13:28+00:00,#SAYNOTO5G #WEDONOTCONSENT #STOP5G
10,1269556043631202304,https://twitter.com/RuleCivility/status/1269556043631202304,RuleCivility,Huawei,0,0,,#5g #5GCorona #covid19 #GreatAwakening #mentalhealth #pinealgland #huawei #wihan #china #saynoto5g #NewWorldOrder,,2020-06-07 09:05:22+00:00,Is this a threat? #5g #5GCorona #covid19 #GreatAwakening #mentalhealth #pinealgland #huawei #wihan #china #saynoto5g #NewWorldOrder
11,1269336319219699712,https://twitter.com/LuzFabiolaCarre/status/1269336319219699712,LuzFabiolaCarre,,1,2,,#Stop5G #SayNoTo5G #NoNewOrder #NoVaccine #saynotobillgates #BillGatesIsEvil,,2020-06-06 18:32:16+00:00,Cumbre5G Gratis! 6 y 7 Junio. No te puedes perder lo que los expertos explican sobre e 5G y sus efectos en la salud 5G Summit! #Stop5G #SayNoTo5G #NoNewOrder #NoVaccine #saynotobillgates #BillGatesIsEvil !
12,1269330745631354883,https://twitter.com/Londonsaysnoto1/status/1269330745631354883,Londonsaysnoto1,,2,2,,#SAYNOTO5G #WEDONOTCONSENT #STOP5G,,2020-06-06 18:10:07+00:00,#SAYNOTO5G #WEDONOTCONSENT #STOP5G
13,1269324629774143490,https://twitter.com/Winston11004677/status/1269324629774143490,Winston11004677,,0,1,,#SAYNOTO5G #WEDONOTCONSENT #STOP5G,,2020-06-06 17:45:49+00:00,#SAYNOTO5G #WEDONOTCONSENT #STOP5G 📴 warning against @eSmog_5G via twitter
14,1269280761636683777,https://twitter.com/Londonsaysnoto1/status/1269280761636683777,Londonsaysnoto1,,1,1,,#SAYNOTO5G #WEDONOTCONSENT #STOP5G,,2020-06-06 14:51:30+00:00,#SAYNOTO5G #WEDONOTCONSENT #STOP5G
15,1269228421261021184,https://twitter.com/Londonsaysnoto1/status/1269228421261021184,Londonsaysnoto1,,2,1,,#SAYNOTO5G #WEDONOTCONSENT #STOP5G,,2020-06-06 11:23:31+00:00,#SAYNOTO5G #WEDONOTCONSENT #STOP5G
16,1269198042000916480,https://twitter.com/Londonsaysnoto1/status/1269198042000916480,Londonsaysnoto1,,0,0,,#SAYNOTO5G #WEDONOTCONSENT #STOP5G,,2020-06-06 09:22:48+00:00,#SAYNOTO5G #WEDONOTCONSENT #STOP5G
17,1269116317648465920,https://twitter.com/LifeisGreat_45/status/1269116317648465920,LifeisGreat_45,DeepStateExpose,1,12,,#SayNoTo5G,,2020-06-06 03:58:03+00:00,#SayNoTo5G wake up America
18,1268863899165757440,https://twitter.com/Londonsaysnoto1/status/1268863899165757440,Londonsaysnoto1,,0,0,,#SAYNOTO5G #WEDONOTCONSENT #STOP5G,,2020-06-05 11:15:02+00:00,#SAYNOTO5G #WEDONOTCONSENT #STOP5G
19,1268831992461660160,https://twitter.com/sameerk20412669/status/1268831992461660160,sameerk20412669,,0,0,,#sayNoTo5G,,2020-06-05 09:08:15+00:00,#sayNoTo5G
20,1268816546698231809,https://twitter.com/Londonsaysnoto1/status/1268816546698231809,Londonsaysnoto1,,0,0,,#SAYNOTO5G #WEDONOTCONSENT #STOP5G #YELLOWREVOLUTION,,2020-06-05 08:06:52+00:00,#SAYNOTO5G #WEDONOTCONSENT #STOP5G #YELLOWREVOLUTION
21,1268623191196475393,https://twitter.com/Londonsaysnoto1/status/1268623191196475393,Londonsaysnoto1,,0,0,,#SAYNOTO5G #WEDONOTCONSENT #STOP5G,,2020-06-04 19:18:33+00:00,#SAYNOTO5G #WEDONOTCONSENT #STOP5G
22,1268591677587013634,https://twitter.com/psaranto/status/1268591677587013634,psaranto,,0,0,,#goodreads #mobile #SAYNOTO5G #STOP5G #5GKILLS #ICNIRP #EMF,,2020-06-04 17:13:19+00:00,"#goodreads Περί ακτινοβολίας από #mobile, απλό, του 2010 μεν, οι αρχές όμως παραμένουν οι ίδιες. - για την τηλεόραση γιατί δεν φωνάζουν οι #SAYNOTO5G #STOP5G #5GKILLS κτλ; - κατώτερα όρια (έχουμε🇬🇷) σημαίνει +40% κεραίες, άρα το κόστος ⬆️💰 #ICNIRP #EMF https://www.gsma.com/publicpolicy/wp-content/uploads/2016/09/GSMA2010_Report_ImplicationsForMobileCommunicationsInfrastructureOfArbitraryRadioFreqLimits_English.pdf"
