,id,permalink,username,to,retweets,favorites,mentions,hashtags,geo,date,text
0,1260357675583504384,https://twitter.com/yesmaam74/status/1260357675583504384,yesmaam74,,0,0,@zenhoneycutt,#pocasts #stop5G,,2020-05-12 23:54:20+00:00,Speaking of podcasts...Did you know that Zen hosts a podcast Monday through Thursday of each week? Listen and subscribe here: https://anchor.fm/zen-honeycutt @zenhoneycutt #pocasts #stop5G 
1,1260352206911549442,https://twitter.com/JeanineDeal/status/1260352206911549442,JeanineDeal,JeanineDeal,16,17,,#5G #Lockdownextention #homeschool #OpenUpAmerica #Stop5G,,2020-05-12 23:32:36+00:00,2017 study found people living within 80 meters (262 ft) of cell antennas experienced a statistically significant amount of DNA damage. #5G is being rolled-out now putting cell antennas only feet from schools &amp; homes. #Lockdownextention #homeschool #OpenUpAmerica #Stop5G 
2,1260350038242258944,https://twitter.com/sakurairuminasu/status/1260350038242258944,sakurairuminasu,HKodake,4,3,,#No5G #Stop5G #TPP,,2020-05-12 23:23:59+00:00,まさしく #身土不二 ですね😊 それと #地産地消 も。 消費者の「安くて、簡単で、便利で、楽ちん」な思考も変えないとダメですね。 まずは理解ある人々から動かないとです😄👍 #種苗法改正反対 #種苗法改正案に抗議します #日米FTA反対 #No5G #Stop5G #TPP反対
3,1260346061346004992,https://twitter.com/suga373/status/1260346061346004992,suga373,Londonsaysnoto1,0,0,,#wedonotconsent #stop5g,,2020-05-12 23:08:11+00:00,#wedonotconsent #stop5g 
4,1260342680669827072,https://twitter.com/Overgam10544834/status/1260342680669827072,Overgam10544834,,0,0,@YouTube,#dictatureenmarche #chloroquine #g #genocide #g #Francs #UE #5G #Stop5G #StopChemtrails,,2020-05-12 22:54:45+00:00,#dictatureenmarche #chloroquine #géo-ingénierie #genocide #géo-ingénieriesocial #Francs-maconnerie #UE #5G #Stop5G #StopChemtrails CG05 - Ce que nous ne voulons pas (compilation 1) - Coronagates #5 https://youtu.be/QdQ1qNK1n70 via @YouTube
5,1260340365736976385,https://twitter.com/redundantuk/status/1260340365736976385,redundantuk,,0,0,,#stop5G,,2020-05-12 22:45:33+00:00,Workers install mast disguised as tree during lockdown https://youtu.be/O5doeX8_p6c #stop5G
6,1260339640399204352,https://twitter.com/lixthesixtoy/status/1260339640399204352,lixthesixtoy,,0,0,@Eminem,#SHADE45 #coronavirus #TikTok #HipHopNews #HipHopCulture #rapper #Eminem #Lastfm #nudiblockchain #STOP5G #power1051 #hot97,,2020-05-12 22:42:40+00:00,Life goal: Had my G5 song played on @Eminem radio station #SHADE45 last night by everyone dies from #coronavirus...next goal: going viral on #TikTok Song link: https://music.apple.com/us/album/g5-5g/1508889046?i=1508889305 #HipHopNews #HipHopCulture #rapper #Eminem #Lastfm #nudiblockchain #STOP5G #power1051 #hot97
7,1260337066891792385,https://twitter.com/ElPuebloPty/status/1260337066891792385,ElPuebloPty,,7,9,,#STOP5G #ArrestBillGates #QAnon,,2020-05-12 22:32:27+00:00,Despertamos o nos eliminan! #STOP5G #ArrestBillGates #QAnon
8,1260332840161619971,https://twitter.com/_A_mors/status/1260332840161619971,_A_mors,,1,1,,#TorniamoLiberi #STOP5G #covid19,,2020-05-12 22:15:39+00:00,"VIDEO INTERVISTA – “Polizia anche di notte per installare di nascosto antenne, ma il 5G è stato fermato” #TorniamoLiberi #STOP5G #covid19"
9,1260332407816937473,https://twitter.com/ElPuebloPty/status/1260332407816937473,ElPuebloPty,,10,18,,#solodigo #DespietaPanama #STOP5G,,2020-05-12 22:13:56+00:00,Yo #solodigo que ya debiera de haber un grupo de técnicos voluntarios panameños que le hagan los test de radiación a cada una de las antenas que pudieran ser de la Red 5G. #DespietaPanama que pa mañana es tarde! #STOP5G 
10,1260329505954189318,https://twitter.com/ElPuebloPty/status/1260329505954189318,ElPuebloPty,,4,4,@YouTube,#Panama #DespiertaPanama #STOP5G,,2020-05-12 22:02:24+00:00,Desde el año pasado metieron la Red 5G en #Panama! Pregunto si eso fue con la aprobación de los panameños? #DespiertaPanama que te están matando! #STOP5G Realizan en Panamá la primera llamada holográfica de Latinoamérica https://youtu.be/ofIjla1bT_I vía @YouTube
11,1260325757727002626,https://twitter.com/pragmatiker13/status/1260325757727002626,pragmatiker13,RoyEacups,0,0,,#stop5g #WeDoNotConsent #svpol,,2020-05-12 21:47:31+00:00,#stop5g #WeDoNotConsent #svpol
12,1260324365943689217,https://twitter.com/pragmatiker13/status/1260324365943689217,pragmatiker13,jonrappoport,2,3,,#stop5g #WeDoNotConsent #svpol,,2020-05-12 21:41:59+00:00,#stop5g #WeDoNotConsent #svpol
13,1260321549028069376,https://twitter.com/HanterPoen/status/1260321549028069376,HanterPoen,,0,0,,#5G #wieszwiecej #wiemlepiej #Stop5G,,2020-05-12 21:30:47+00:00,"#5G to jest zabójca ,to są częstotliwości szturmowe ,działania wojenne narpromieniowania mikrofalowego... ,ta technologa gotuje ludziom gałki oczne...LEKTOR #wieszwiecej #wiemlepiej #Stop5G ! "
14,1260318943564177408,https://twitter.com/JackDb85/status/1260318943564177408,JackDb85,,0,0,,#5G #campi #elettromagnetici #Stop5g #PrincipiodiPrecauzione,,2020-05-12 21:20:26+00:00,Il Dott. Marinelli spiega in modo esemplare i pericoli del #5G e dei #campi #elettromagnetici. #Stop5g #PrincipiodiPrecauzione
15,1260316572939431938,https://twitter.com/GPause5/status/1260316572939431938,GPause5,,0,0,,#ActionAgainst5g #Pause5G #CitizensAssembly #Stop5G,,2020-05-12 21:11:01+00:00,Home Page - #ActionAgainst5g #Pause5G #CitizensAssembly needed #Stop5G campaign - donations needed for this momentous legal challenge: 
16,1260315858045480962,https://twitter.com/DazHarmer/status/1260315858045480962,DazHarmer,5gAwareness,2,2,,#tree #trees #Stop5G,,2020-05-12 21:08:10+00:00,"This is a dangerous, toxic, radiation-emitting device - not a #tree. The real #trees will not survive this microwave onslaught. What about people? What about babies and children? What about the damage to Nature? See https://ieeexplore.ieee.org/document/9016183 and http://tiny.cc/trees #Stop5G"
17,1260308757281681408,https://twitter.com/WhileLegal/status/1260308757281681408,WhileLegal,,5,5,,#5G #STOP5G #biology #Science,,2020-05-12 20:39:57+00:00,"""We have the truth on our side, the science on our side. That is why we are all being censored right now."" https://youtu.be/X1Snbb2rRbg #5G #STOP5G #biology #Science"
18,1260303862763790345,https://twitter.com/ElPuebloPty/status/1260303862763790345,ElPuebloPty,,22,23,,#Panama #STOP5G,,2020-05-12 20:20:30+00:00,No vemos a ningún grupo de médicos panameños pronunciándose ante la descarada instalación de la Red 5G en #Panama! Que les pasó? En donde están? Será que eso no les afecta a ellos ni a sus familias? #STOP5G 
19,1260303305772802051,https://twitter.com/man_giu/status/1260303305772802051,man_giu,Huawei,1,1,,#stop5G #5gkill,,2020-05-12 20:18:18+00:00,#stop5G #5gkill
20,1260300553818644483,https://twitter.com/radiation_uk/status/1260300553818644483,radiation_uk,,6,5,@MintPressNews,#STOP5G,,2020-05-12 20:07:21+00:00,What Big Wireless is really up to from @MintPressNews https://mintpressnews.com/big-wireless-lobbied-5g-data-collection-surveillance/267355/?fbclid=IwAR3NodxG4zHaqqTn5y-cQKUayEFDuj44VlS9-gwtSt-O7f7tsJZYn-r7XMw… #STOP5G 
21,1260295730520096770,https://twitter.com/ElPuebloPty/status/1260295730520096770,ElPuebloPty,,15,13,@USAGovEspanol,#Panama #DespiertaPanama #STOP5G,,2020-05-12 19:48:11+00:00,El Nuevo Orden en proceso ante la mirada impávida de los panameños! Supuestas antenas Red 5G ya instaladas en El Chorrillo y Santa Ana Ciudad de #Panama Quien las autorizó? #DespiertaPanama que van a acabar contigo! #STOP5G @USAGovEspanol
22,1260292150656471040,https://twitter.com/pragmatiker13/status/1260292150656471040,pragmatiker13,summerbreeze712,0,0,,#stop5g #wedonotconsent #svpol,,2020-05-12 19:33:58+00:00,#stop5g #wedonotconsent #svpol
23,1260291055154425857,https://twitter.com/Ariannah_Skye/status/1260291055154425857,Ariannah_Skye,WattsJosiah,0,1,,#STOP5G,,2020-05-12 19:29:37+00:00,#STOP5G 
24,1260290317191970818,https://twitter.com/mart676/status/1260290317191970818,mart676,imdexx_,0,0,,#Stop5G,,2020-05-12 19:26:41+00:00,If we just sit looking at screens and complaining....that could happen. #Stop5G
25,1260288351623675904,https://twitter.com/LafaxStudio/status/1260288351623675904,LafaxStudio,rafapal,0,0,,#stop5g #gabyRenuncia #SinCarrizoPorFavor,,2020-05-12 19:18:52+00:00,#stop5g #gabyRenuncia #SinCarrizoPorFavor
26,1260287932251987968,https://twitter.com/ElPuebloPty/status/1260287932251987968,ElPuebloPty,,12,13,,#ArrestBillGates #STOP5G #QANON #coronavirus,,2020-05-12 19:17:12+00:00,El Mundo está en guerra! #ArrestBillGates #STOP5G #QANON La idea es silenciar todo lo que trate de impedir la instalación de la Red 5G y la creación del Nuevo Orden Mundial YouTube borrará los videos que relacionan la tecnología 5G con el #coronavirus https://www.lavanguardia.com/tecnologia/20200407/48376538575/youtube-borrara-videos-relacionan-tecnologia-5g-coronavirus.html
27,1260286549448679429,https://twitter.com/Winston11004677/status/1260286549448679429,Winston11004677,,0,0,,#Stop5G,,2020-05-12 19:11:43+00:00,ANGRY Birds Attacking Cellphone Towers #Stop5G https://youtu.be/ZUBjdIgIVL4 📴 warning against @eSmog_5G via twitter
28,1260286461326364683,https://twitter.com/mart676/status/1260286461326364683,mart676,imdexx_,0,1,,#5g #Stop5g,,2020-05-12 19:11:22+00:00,"Check, but not checkmate. We can see the transmitters, and know what needs to be done. #5g #Stop5g"
29,1260286117389180929,https://twitter.com/LafaxStudio/status/1260286117389180929,LafaxStudio,MiguelAngeloWa1,0,0,,#STOP5G,,2020-05-12 19:10:00+00:00,#STOP5G 
30,1260281932404965377,https://twitter.com/radiation_uk/status/1260281932404965377,radiation_uk,,0,3,,#stop5G #fakenews,,2020-05-12 18:53:22+00:00,Open letter to the Guardian newspaper for being in breach of the Editors' code regarding cell phone radiation: #stop5G #fakenews https://www.radiationresearch.org/campaigns/open-letter-of-complaint-to-the-guardian-from-the-em-radiation-research-trust/
31,1260275291827601408,https://twitter.com/Winston11004677/status/1260275291827601408,Winston11004677,,0,0,,#stop5G,,2020-05-12 18:26:59+00:00,"Notice of Liability re: proposed densification of 4G LTE networks, and LED 5G masts during the lockdown. – Save Us Now #stop5G Send this to MPs and Councils https://www.saveusnow.org.uk/notice-of-liability-re-proposed-densification-of-4g-lte-networks-and-led-5g-masts-during-the-lockdown/ 📴 warning against @eSmog_5G via twitter"
32,1260275182276575232,https://twitter.com/Winston11004677/status/1260275182276575232,Winston11004677,,0,0,@SJarvey,#5G #stop5g,,2020-05-12 18:26:32+00:00,Not a word about the dangers of #5G just an attempt to paint citizens as vandals and conspiracy theorists. https://www.forbes.com/sites/carlypage/2020/05/05/anti-5g-activists-take-dutch-government-to-court-over-unethical-network-rollout/?fbclid=IwAR0cvEVYt1-ZZOh-0QJOjj5oaUQ-485hPxBb1OKvQJosk_YmP2ob-iftv2M#2dc05d661a0c @sjarvey #stop5g 📴 warning against @eSmog_5G via twitter 
33,1260275075758133248,https://twitter.com/Winston11004677/status/1260275075758133248,Winston11004677,,0,0,,#forcedtesting #forcedvaccine #coronavirus #coronapocalypse #Holocaust #Genocide #Gestapo #MedicalMartialLaw #markofthebeast #stop5g #5gweapon #globaltyranny #normalizingtyranny #PoliceState #MadeInChina #newworldorder,,2020-05-12 18:26:07+00:00,is this what the holocaust looks like?#forcedtesting #forcedvaccine #coronavirus #coronapocalypse #Holocaust #Genocide #Gestapo #MedicalMartialLaw #markofthebeast #stop5g #5gweapon #globaltyranny #normalizingtyranny #PoliceState #MadeInChina #newworldorder https://www.rt.com/news/488416-wuhan-mass-testing-china/
34,1260274688388988929,https://twitter.com/Winston11004677/status/1260274688388988929,Winston11004677,,0,0,,#5Gweapon #5gmindcontrol #STOP5G #5g #virus,,2020-05-12 18:24:35+00:00,5G Heats up water molecules. We are made of water! Stop 5G!! Danger! Danger! #5Gweapon #5gmindcontrol #STOP5G #5g #virus https://youtu.be/62wBGx57kyU 📴 warning against @eSmog_5G via twitter
35,1260271239173529600,https://twitter.com/NAVEEN_B_L/status/1260271239173529600,NAVEEN_B_L,,0,0,,#STOP5G,,2020-05-12 18:10:52+00:00,#STOP5G
36,1260266798987055104,https://twitter.com/ElPuebloPty/status/1260266798987055104,ElPuebloPty,,1,2,,#STOP5G,,2020-05-12 17:53:14+00:00,#STOP5G YA! https://twitter.com/0467luis/status/1260229282485469186
37,1260262372909948928,https://twitter.com/anne_vis/status/1260262372909948928,anne_vis,Baka_62,0,0,,#STOP5G #5G,,2020-05-12 17:35:38+00:00,"""The solution — next-gen networking without Huawei and without undermining GPS — may lie in yet another nascent technology. O-RAN, a software-driven network protocol that promises even faster and more secure mobile communications"" #STOP5G #5G"
38,1260260303935287296,https://twitter.com/IndigneF/status/1260260303935287296,IndigneF,Conflits_FR,0,0,,#Stop5G,,2020-05-12 17:27:25+00:00,"Donc, autant ne pas en ajouter! Je suis contre la 5G. Nous n'en avons pas besoins. #Stop5G"
